state,;,fun,id,->,nat,bool,?,:,(,),lit,+,&,<,=,$,S',S,F,A,T,C,E,I,B,R
0,,s4,,,,,,,s7,,s8,,,,,,,1,2,,,3,6,,5,
1,,,,,,,,,,,,,,,,accept,,,,,,,,,,
2,s9,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,r2,,,,,,,,,,
4,,,s10,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,s11,,,,,,,,,,,,,,,,,,,
6,r9,,,,,,,,,,,,,s13,s14,r9,,,,,,,,,,12
7,,,s15,,,,,,,,,,,,,,,,,,,,,,,
8,r14,,,,,,r14,r14,r14,r14,r14,s16,r14,r14,r14,r14,,,,,,,,,,
9,,s4,,,,,,,s7,,s8,,,,,,,17,2,,,3,6,,5,
10,,,,,s20,s21,,,,,,,,,,,,,,18,19,,,,,
11,,,,,,,,,s7,,s8,,,,,,,,,,,,22,,,
12,,,,,,,,,s7,,s8,,,,,,,,,,,,23,,,
13,,,,,,,,,r17,,r17,,,,,,,,,,,,,,,
14,,,,,,,,,r18,,r18,,,,,,,,,,,,,,,
15,,,,,,,,,s7,,s8,,,,,,,,,,,,25,24,,
16,,,,,,,,,s7,,s8,,,,,,,,,,,,26,,,
17,,,,,,,,,,,,,,,,r1,,,,,,,,,,
18,,,,s27,,,,,,,,,,,,,,,,,,,,,,
19,,,s28,,,,,,,,,,,,,,,,,,,,,,,
20,,,r6,,,,,,,,,,,,,,,,,,,,,,,
21,,,r7,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,s29,,,,,,,,,,,,,,,,,,
23,,,,,,,r16,,,,,,s30,,,,,,,,,,,,,
24,,,,,,,,,,s31,,,,,,,,,,,,,,,,
25,,,,,,,,,s7,r12,s8,,,,,,,,,,,,25,32,,
26,r13,,,,,,r13,r13,r13,r13,r13,,r13,r13,r13,r13,,,,,,,,,,
27,,,,,,,,,s7,,s8,,,,,,,,,,,33,6,,5,
28,,,,r5,s20,s21,,,,,,,,,,,,,,34,19,,,,,
29,,,,,,,,,s7,,s8,,,,,,,,,,,35,6,,5,
30,,,,,,,,,s7,,s8,,,,,,,,,,,,37,,36,
31,r10,,,,,,r10,r10,r10,r10,r10,,r10,r10,r10,r10,,,,,,,,,,
32,,,,,,,,,,r11,,,,,,,,,,,,,,,,
33,r3,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,r4,,,,,,,,,,,,,,,,,,,,,,
35,r8,,,,,,,,,,,,,,,r8,,,,,,,,,,
36,,,,,,,r15,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,s13,s14,,,,,,,,,,,12
